Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.110000,-63.632500,-90.000000,top
"C2","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.920000,-63.572500,-90.000000,top
"C3","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.600000,-63.542500,-90.000000,top
"C4","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.330000,-79.467500,-90.000000,top
"C5","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.890000,-79.597500,-90.000000,top
"C6","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.540000,-79.597500,-90.000000,top
"D1","shottky_byass_2","SOD2512X113N",143.480000,-60.465000,180.000000,top
"D2","3.3V_LED","ASCKCG00NW5X5020302",143.630000,-55.975000,0.000000,top
"D3","shottky_byass_3","SOD2512X113N",143.330000,-76.410000,180.000000,top
"D4","6V_LED","ASCKCG00NW5X5020302",144.460000,-71.400000,0.000000,top
"IC1","LDO_3.3V","SOP65P490X110-9N",142.530000,-63.650000,0.000000,top
"IC2","LDO_6V","SOP65P490X110-9N",142.530000,-79.505000,0.000000,top
"J1","SWITCH_LOGIC","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",157.750000,-82.070000,90.000000,top
"J2","BAT_IN","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",157.810000,-59.110000,90.000000,top
"J3","BAU","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",123.600000,-79.700000,-90.000000,top
"J4","3.3V_OUT","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",123.640000,-56.670000,-90.000000,top
"J5","6V_OUT","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",123.600000,-67.860000,-90.000000,top
"R1","500k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.100000,-63.585000,-90.000000,top
"R2","160k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.060000,-66.615000,0.000000,top
"R3","15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.950000,-55.865000,0.000000,top
"R4","840","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.100000,-79.560000,-90.000000,top
"R5","160k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.010000,-82.680000,0.000000,top
"R6","135","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.460000,-71.420000,0.000000,top
