"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"IC2";"SOP65P490X110-9N";1;"LDO_6V";;;
2;"D3";"SOD2512X113N";1;"shottky_byass_3";;;
3;"IC1";"SOP65P490X110-9N";1;"LDO_3.3V";;;
4;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"135";;;
5;"C2,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10p";;;
6;"C6,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2u";;;
7;"D4";"ASCKCG00NW5X5020302";1;"6V_LED";;;
8;"R5,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"160k";;;
9;"J3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"BAU";;;
10;"C4,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"1u";;;
11;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"500k";;;
12;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"SWITCH_LOGIC";;;
13;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"BAT_IN";;;
14;"D2";"ASCKCG00NW5X5020302";1;"3.3V_LED";;;
15;"D1";"SOD2512X113N";1;"shottky_byass_2";;;
16;"J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"3.3V_OUT";;;
17;"J5";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"6V_OUT";;;
18;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"15";;;
19;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"840";;;
