Designator,Mid X,Mid Y,Rotation,Layer
C1,147.11,-63.6325,270.0,top
C2,135.92,-63.5725,270.0,top
C3,133.6,-63.5425,270.0,top
C4,147.33,-79.4675,270.0,top
C5,135.89,-79.5975,270.0,top
C6,133.54,-79.5975,270.0,top
D1,143.48,-60.465,180.0,top
D2,143.63,-55.975,0.0,top
D3,143.33,-76.41,180.0,top
D4,144.46,-71.4,0.0,top
IC1,142.53,-63.65,0.0,top
IC2,142.53,-79.505,0.0,top
J1,157.75,-80.82,90.0,top
J2,157.81,-57.86,90.0,top
J3,123.6,-80.95,270.0,top
J4,123.64,-57.92,270.0,top
J5,123.6,-69.11,270.0,top
R1,138.1,-63.585,270.0,top
R2,139.06,-66.615,0.0,top
R3,137.95,-55.865,0.0,top
R4,138.1,-79.56,270.0,top
R5,139.01,-82.68,0.0,top
R6,139.46,-71.42,0.0,top
