Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0805,3,0.1uF,
C10,0805,1,2.2u,
C3,0805,1,10uF,
"C5, C6",0805,2,100uF,
"C7, C8",0805,2,0.1u,
C9,0402,1,1u,
D1,SOD2512X113N,1,shottky_byass_4,
D2,0603,1,LED_Small,
IC1,ESP32S3WROOM1N16R8,1,ESP32-S3-WROOM-1-N16R8,
IC2,SOP65P490X110-9N,1,LDO_3.3V_bis,
"J1, J5, J8, J9",PinSocket_1x08_P2.54mm_Vertical,4,Conn_01x08_Socket,
"J10, J11",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Socket,
J14,PinSocket_1x04_P2.54mm_Vertical,1,LiDAR Connector,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Connector 5V,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Connector 3.3V,
J4,USB307530A,1,Micro_USB_pads_USB3075-30-A,
"J6, J7",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
R1,0805,1,15,
S1,PTS810SJG250SMTRLFS,1,Enable Button,
S2,PTS810SJG250SMTRLFS,1,Boot Button,
SERVO,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_Servos,
"TP_3.3V1, TP_5V_USB1",TestPoint_Pad_D2.0mm,2,TestPoint,
U1,IC_ICM-45686,1,ICM-45686,
